Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Care Instructions (product.metafields.custom.care_instructions),Materials (product.metafields.custom.materials),Shipping & Returns (product.metafields.custom.shipping_returns),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / International,Price / International,Compare At Price / International,Status
short-sleeve-baby-bodysuit-sahara,,,,,,,,,6-9M,,,100% Organic Egyptian Cotton,,,,,BBS-SAH-6-9M,0.0,shopify,29,deny,manual,17.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1910324.jpg?v=1658697790,2,"Baby dungarees in dusty blush organic Egyptian cotton, back view",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890421.jpg?v=1658507740,kg,,103.20,,,,
short-sleeve-baby-bodysuit-sahara,,,,,,,,,9-12M,,,100% Organic Egyptian Cotton,,,,,BBS-SAH-9-12M,0.0,shopify,24,deny,manual,17.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1910278.jpg?v=1658697790,3,"Baby dungarees in dusty blush organic Egyptian cotton, detail view",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890421.jpg?v=1658507740,kg,,103.20,,,,
short-sleeve-baby-bodysuit-sahara,,,,,,,,,12-18M,,,100% Organic Egyptian Cotton,,,,,BBS-SAH-12-18M,0.0,shopify,28,deny,manual,17.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890429.jpg?v=1658697790,4,"Baby dungarees in dusty blush organic Egyptian cotton, lifestyle view",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890421.jpg?v=1658507740,kg,,103.20,,,,
short-sleeve-baby-bodysuit-sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890422.jpg?v=1658697790,5,"Baby dungarees in dusty blush organic Egyptian cotton, flat lay view",,,,,,,,,,,,,,,,,,,,,,,,,,
short-sleeve-baby-bodysuit-sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890423.jpg?v=1658697790,6,"Baby dungarees in dusty blush organic Egyptian cotton, close-up view",,,,,,,,,,,,,,,,,,,,,,,,,,
short-sleeve-baby-bodysuit-dusky-blue,"Baby Short Sleeve Bodysuit — Organic Egyptian Cotton, Dusky Blue","<p>A beautifully soft everyday essential.</p>

<p>This short sleeve bodysuit is crafted from 100% organic Egyptian cotton — one of the softest and most breathable fabrics you can put against your baby's skin. Shoulder snap closures allow the bodysuit to be easily slipped on and off, while crotch poppers make nappy changes quick and simple.</p>

<p>The relaxed fit allows natural movement throughout the day, whether baby is playing, crawling or resting. Extra-long staple Egyptian cotton fibres create a smooth, gentle fabric that gets softer with every wash.</p>

<p><strong>Why Parents Love It</strong></p>
<ul>
<li>100% Organic Egyptian Cotton</li>
<li>Shoulder snaps for easy dressing</li>
<li>Crotch poppers for quick nappy changes</li>
<li>Lightweight and breathable</li>
<li>Gentle on sensitive and eczema-prone skin</li>
<li>GOTS certified organic</li>
</ul>

<p>In our calming Dusky Blue. Perfect for everyday wear, layering and warm weather.</p>",Caico Cotton,Uncategorized,"","baby, Baby Clothes, bodysuit, organic egyptian cotton",true,Size,3-6M,,Material,100% Organic Egyptian Cotton,,,,,BBS-BLUE-3-6M,0.0,shopify,26,deny,manual,17.00,,true,true,,,,,BBS-BLUE-3-6M,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890410_b0f3875d-34dd-4d3f-a9d2-6999cbb1d30b.jpg?v=1658507456,1,"Baby dungarees in dusty blush organic Egyptian cotton, front view",false,Baby Short Sleeve Bodysuit Dusky Blue — Organic Egyptian Cotton | Caico Cotton,"Organic Egyptian cotton short sleeve bodysuit in Dusky Blue. GOTS certified, hypoallergenic. Sizes 3-18M. Free UK delivery over £50.",,,,,,,,,,,,"Machine wash at 30°C on a gentle cycle
Use a mild, non-biological detergent
Wash with similar colours
Do not bleach
Tumble dry on low heat or lay flat to dry
Iron on medium heat if needed
Do not dry clean

Egyptian cotton becomes softer with every wash. We recommend washing before first wear for maximum softness.","100% GOTS certified organic Egyptian cotton

Our fabric is woven from extra-long staple Egyptian cotton fibres (35–40mm), grown along the banks of the Nile Delta without pesticides, synthetic fertilisers or harmful chemicals.

Unlike bamboo viscose blends which undergo chemical processing, our cotton is 100% natural at every stage — from field to finished garment.

Fasteners: YKK nickel-free snaps
Certification: GOTS (Global Organic Textile Standard)
Production: Fairtrade certified factory","UK Delivery
Standard UK delivery: 2–3 working days — £3.95
Free UK delivery on orders over £50

Orders placed before 2pm on weekdays are usually dispatched the same day from our UK warehouse.

Returns
We offer a 14-day return and exchange policy. Items must be unworn, unwashed and in original condition with labels attached. Email info@caicocotton.com with your order number to start a return.

Full details at caicocotton.com/pages/shipping-and-returns",,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890410_b0f3875d-34dd-4d3f-a9d2-6999cbb1d30b.jpg?v=1658507456,kg,,103.20,true,,,active
short-sleeve-baby-bodysuit-dusky-blue,,,,,,,,,6-9M,,,100% Organic Egyptian Cotton,,,,,BBS-BLUE-6-9M,0.0,shopify,26,deny,manual,17.00,,true,true,,,,,BBS-BLUE-6-9M,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1910114.jpg?v=1658696340,2,"Baby dungarees in dusty blush organic Egyptian cotton, back view",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890410_b0f3875d-34dd-4d3f-a9d2-6999cbb1d30b.jpg?v=1658507456,kg,,103.20,,,,
short-sleeve-baby-bodysuit-dusky-blue,,,,,,,,,9-12M,,,100% Organic Egyptian Cotton,,,,,BBS-BLUE-9-12M,0.0,shopify,23,deny,manual,17.00,,true,true,,,,,BBS-BLUE-9-12M,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1910123.jpg?v=1658696340,3,"Baby dungarees in dusty blush organic Egyptian cotton, detail view",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890410_b0f3875d-34dd-4d3f-a9d2-6999cbb1d30b.jpg?v=1658507456,kg,,103.20,,,,
short-sleeve-baby-bodysuit-dusky-blue,,,,,,,,,12-18M,,,100% Organic Egyptian Cotton,,,,,OBBS-BLUE-12-18MO,0.0,shopify,17,deny,manual,17.00,,true,true,,,,,BBS-BLUE-12-18M,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890402_2bef3135-08f9-45b2-9f41-3a7cfd95897c.jpg?v=1658696340,4,"Baby dungarees in dusty blush organic Egyptian cotton, lifestyle view",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890410_b0f3875d-34dd-4d3f-a9d2-6999cbb1d30b.jpg?v=1658507456,kg,,103.20,,,,
short-sleeve-baby-bodysuit-dusky-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890403_d4823385-5df5-4ec8-915b-4f6196267676.jpg?v=1658696340,5,"Baby dungarees in dusty blush organic Egyptian cotton, flat lay view",,,,,,,,,,,,,,,,,,,,,,,,,,
short-sleeve-baby-bodysuit-dusty-blush,"Baby Short Sleeve Bodysuit — Organic Egyptian Cotton, Dusty Blush","<p>A beautifully soft everyday essential.</p>

<p>This short sleeve bodysuit is crafted from 100% organic Egyptian cotton — one of the softest and most breathable fabrics you can put against your baby's skin. Shoulder snap closures allow the bodysuit to be easily slipped on and off, while crotch poppers make nappy changes quick and simple.</p>

<p>The relaxed fit allows natural movement throughout the day, whether baby is playing, crawling or resting. Extra-long staple Egyptian cotton fibres create a smooth, gentle fabric that gets softer with every wash.</p>

<p><strong>Why Parents Love It</strong></p>
<ul>
<li>100% Organic Egyptian Cotton</li>
<li>Shoulder snaps for easy dressing</li>
<li>Crotch poppers for quick nappy changes</li>
<li>Lightweight and breathable</li>
<li>Gentle on sensitive and eczema-prone skin</li>
<li>GOTS certified organic</li>
</ul>

<p>In our gentle Dusty Blush. Perfect for everyday wear, layering and warm weather.</p>",Caico Cotton,Uncategorized,"","baby, Baby Clothes, bodysuit, organic egyptian cotton",true,Size,3-6M,,,,,,,,BBS-BLUSH-3-6M,0.0,shopify,19,deny,manual,17.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890413_75718617-65dc-4e2c-88cd-0de0bcb6b236.jpg?v=1658507005,1,"Baby dungarees in dusty blush organic Egyptian cotton, front view",false,Baby Short Sleeve Bodysuit Dusty Blush — Organic Egyptian Cotton | Caico Cotton,"Organic Egyptian cotton short sleeve bodysuit in Dusty Blush. GOTS certified, hypoallergenic. Sizes 3-18M. Free UK delivery over £50.",,,,,,,,,,,,"Machine wash at 30°C on a gentle cycle
Use a mild, non-biological detergent
Wash with similar colours
Do not bleach
Tumble dry on low heat or lay flat to dry
Iron on medium heat if needed
Do not dry clean

Egyptian cotton becomes softer with every wash. We recommend washing before first wear for maximum softness.","100% GOTS certified organic Egyptian cotton

Our fabric is woven from extra-long staple Egyptian cotton fibres (35–40mm), grown along the banks of the Nile Delta without pesticides, synthetic fertilisers or harmful chemicals.

Unlike bamboo viscose blends which undergo chemical processing, our cotton is 100% natural at every stage — from field to finished garment.

Fasteners: YKK nickel-free snaps
Certification: GOTS (Global Organic Textile Standard)
Production: Fairtrade certified factory","UK Delivery
Standard UK delivery: 2–3 working days — £3.95
Free UK delivery on orders over £50

Orders placed before 2pm on weekdays are usually dispatched the same day from our UK warehouse.

Returns
We offer a 14-day return and exchange policy. Items must be unworn, unwashed and in original condition with labels attached. Email info@caicocotton.com with your order number to start a return.

Full details at caicocotton.com/pages/shipping-and-returns",,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890413_75718617-65dc-4e2c-88cd-0de0bcb6b236.jpg?v=1658507005,kg,,103.20,true,,,active
short-sleeve-baby-bodysuit-dusty-blush,,,,,,,,,6-9M,,,,,,,,BBS-BLUSH-6-9M,0.0,shopify,24,deny,manual,17.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1910212_6055aae1-16e7-4372-b7b2-4d193be8a6d8.jpg?v=1658697169,2,"Baby dungarees in dusty blush organic Egyptian cotton, back view",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890413_75718617-65dc-4e2c-88cd-0de0bcb6b236.jpg?v=1658507005,kg,,103.20,,,,
short-sleeve-baby-bodysuit-dusty-blush,,,,,,,,,9-12M,,,,,,,,OBBS-BLUSH-9-12MO,0.0,shopify,27,deny,manual,17.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1910229.jpg?v=1658697169,3,"Baby dungarees in dusty blush organic Egyptian cotton, detail view",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890413_75718617-65dc-4e2c-88cd-0de0bcb6b236.jpg?v=1658507005,kg,,103.20,,,,
short-sleeve-baby-bodysuit-dusty-blush,,,,,,,,,12-18M,,,,,,,,OBBS-BLUSH-12-18MO,0.0,shopify,25,deny,manual,17.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890414_7dc7a35b-28c1-4fcb-8ac7-d00f2c958828.jpg?v=1658697169,4,"Baby dungarees in dusty blush organic Egyptian cotton, lifestyle view",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890413_75718617-65dc-4e2c-88cd-0de0bcb6b236.jpg?v=1658507005,kg,,103.20,,,,
short-sleeve-baby-bodysuit-dusty-blush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890418_0889cfe9-5e57-48d5-a569-d5a311d26448.jpg?v=1658697169,5,"Baby dungarees in dusty blush organic Egyptian cotton, flat lay view",,,,,,,,,,,,,,,,,,,,,,,,,,
short-sleeve-baby-bodysuit-alabaster,"Baby Short Sleeve Bodysuit — Organic Egyptian Cotton, Alabaster","<p>A beautifully soft everyday essential.</p>

<p>This short sleeve bodysuit is crafted from 100% organic Egyptian cotton — one of the softest and most breathable fabrics you can put against your baby's skin. Shoulder snap closures allow the bodysuit to be easily slipped on and off, while crotch poppers make nappy changes quick and simple.</p>

<p>The relaxed fit allows natural movement throughout the day, whether baby is playing, crawling or resting. Extra-long staple Egyptian cotton fibres create a smooth, gentle fabric that gets softer with every wash.</p>

<p><strong>Why Parents Love It</strong></p>
<ul>
<li>100% Organic Egyptian Cotton</li>
<li>Shoulder snaps for easy dressing</li>
<li>Crotch poppers for quick nappy changes</li>
<li>Lightweight and breathable</li>
<li>Gentle on sensitive and eczema-prone skin</li>
<li>GOTS certified organic</li>
</ul>

<p>In our signature Alabaster — a warm, natural off-white. Perfect for everyday wear, layering and warm weather.</p>",Caico Cotton,Uncategorized,"","baby, Baby Clothes, bodysuit, organic egyptian cotton",true,Size,3-6M,,Material,100% Organic Egyptian Cotton,,,,,BBS-ALA-3-6M,0.0,shopify,24,deny,manual,17.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890430_f580cc83-1855-46ac-a695-782b3e71a03f.jpg?v=1658506713,1,"Baby dungarees in dusty blush organic Egyptian cotton, front view",false,Baby Short Sleeve Bodysuit Alabaster — Organic Egyptian Cotton | Caico Cotton,"Organic Egyptian cotton short sleeve bodysuit in Alabaster. GOTS certified, hypoallergenic. Sizes 3-18M. Free UK delivery over £50.",,,,,,,,,,,,"Machine wash at 30°C on a gentle cycle
Use a mild, non-biological detergent
Wash with similar colours
Do not bleach
Tumble dry on low heat or lay flat to dry
Iron on medium heat if needed
Do not dry clean

Egyptian cotton becomes softer with every wash. We recommend washing before first wear for maximum softness.","100% GOTS certified organic Egyptian cotton

Our fabric is woven from extra-long staple Egyptian cotton fibres (35–40mm), grown along the banks of the Nile Delta without pesticides, synthetic fertilisers or harmful chemicals.

Unlike bamboo viscose blends which undergo chemical processing, our cotton is 100% natural at every stage — from field to finished garment.

Fasteners: YKK nickel-free snaps
Certification: GOTS (Global Organic Textile Standard)
Production: Fairtrade certified factory","UK Delivery
Standard UK delivery: 2–3 working days — £3.95
Free UK delivery on orders over £50

Orders placed before 2pm on weekdays are usually dispatched the same day from our UK warehouse.

Returns
We offer a 14-day return and exchange policy. Items must be unworn, unwashed and in original condition with labels attached. Email info@caicocotton.com with your order number to start a return.

Full details at caicocotton.com/pages/shipping-and-returns",,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890430_f580cc83-1855-46ac-a695-782b3e71a03f.jpg?v=1658506713,kg,,97.50,true,,,active
short-sleeve-baby-bodysuit-alabaster,,,,,,,,,6-9M,,,100% Organic Egyptian Cotton,,,,,BBS-ALA-6-9M,0.0,shopify,21,deny,manual,17.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1910188.jpg?v=1658701032,2,"Baby dungarees in dusty blush organic Egyptian cotton, back view",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890430_f580cc83-1855-46ac-a695-782b3e71a03f.jpg?v=1658506713,kg,,97.50,,,,
short-sleeve-baby-bodysuit-alabaster,,,,,,,,,9-12M,,,100% Organic Egyptian Cotton,,,,,BBS-ALA-9-12M,0.0,shopify,19,deny,manual,17.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890432_70581f53-4bfe-4df4-b22d-a13654069de1.jpg?v=1658701032,3,"Baby dungarees in dusty blush organic Egyptian cotton, detail view",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890430_f580cc83-1855-46ac-a695-782b3e71a03f.jpg?v=1658506713,kg,,97.50,,,,
short-sleeve-baby-bodysuit-alabaster,,,,,,,,,12-18M,,,100% Organic Egyptian Cotton,,,,,BBS-ALA-12-18M,0.0,shopify,17,deny,manual,17.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890435_d72e587b-49ae-4b35-b6c6-5c5622f75519.jpg?v=1658701032,4,"Baby dungarees in dusty blush organic Egyptian cotton, lifestyle view",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890430_f580cc83-1855-46ac-a695-782b3e71a03f.jpg?v=1658506713,kg,,97.50,,,,
newborn-short-sleeve-baby-body-suit-dusky-blue,"Newborn Short Sleeve Bodysuit — Organic Egyptian Cotton, Dusky Blue","<p>A beautifully soft everyday essential.</p>

<p>This short sleeve bodysuit is crafted from 100% organic Egyptian cotton — one of the softest and most breathable fabrics you can put against your baby's skin. Shoulder snap closures allow the bodysuit to be easily slipped on and off, while crotch poppers make nappy changes quick and simple.</p>

<p>The relaxed fit allows natural movement throughout the day, whether baby is playing, crawling or resting. Extra-long staple Egyptian cotton fibres create a smooth, gentle fabric that gets softer with every wash.</p>

<p><strong>Why Parents Love It</strong></p>
<ul>
<li>100% Organic Egyptian Cotton</li>
<li>Shoulder snaps for easy dressing</li>
<li>Crotch poppers for quick nappy changes</li>
<li>Lightweight and breathable</li>
<li>Gentle on sensitive and eczema-prone skin</li>
<li>GOTS certified organic</li>
</ul>

<p>In our calming Dusky Blue. Perfect for everyday wear, layering and warm weather.</p>",Caico Cotton,Uncategorized,"","bodysuit, newborn, Newborn Essentials, organic egyptian cotton",true,Size,1-3M,,Material,100% Organic Egyptian Cotton,,,,,BBS-BLUE-1-3M,0.0,shopify,34,deny,manual,17.00,,true,true,,,,,BBS-BLUE-1-3M,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890401.jpg?v=1658506461,1,"Baby dungarees in dusty blush organic Egyptian cotton, front view",false,Newborn Short Sleeve Bodysuit Dusky Blue — Organic Egyptian Cotton | Caico Cotton,"Organic Egyptian cotton newborn bodysuit in Dusky Blue. GOTS certified, hypoallergenic. Free UK delivery over £50.",,,,,,,,,,,,"Machine wash at 30°C on a gentle cycle
Use a mild, non-biological detergent
Wash with similar colours
Do not bleach
Tumble dry on low heat or lay flat to dry
Iron on medium heat if needed
Do not dry clean

Egyptian cotton becomes softer with every wash. We recommend washing before first wear for maximum softness.","100% GOTS certified organic Egyptian cotton

Our fabric is woven from extra-long staple Egyptian cotton fibres (35–40mm), grown along the banks of the Nile Delta without pesticides, synthetic fertilisers or harmful chemicals.

Unlike bamboo viscose blends which undergo chemical processing, our cotton is 100% natural at every stage — from field to finished garment.

Fasteners: YKK nickel-free snaps
Certification: GOTS (Global Organic Textile Standard)
Production: Fairtrade certified factory","UK Delivery
Standard UK delivery: 2–3 working days — £3.95
Free UK delivery on orders over £50

Orders placed before 2pm on weekdays are usually dispatched the same day from our UK warehouse.

Returns
We offer a 14-day return and exchange policy. Items must be unworn, unwashed and in original condition with labels attached. Email info@caicocotton.com with your order number to start a return.

Full details at caicocotton.com/pages/shipping-and-returns",,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890401.jpg?v=1658506461,kg,,103.20,true,,,active
newborn-short-sleeve-baby-body-suit-dusky-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1910141.jpg?v=1658700451,2,"Baby dungarees in dusty blush organic Egyptian cotton, back view",,,,,,,,,,,,,,,,,,,,,,,,,,
newborn-short-sleeve-baby-body-suit-dusky-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890402.jpg?v=1658700451,3,"Baby dungarees in dusty blush organic Egyptian cotton, detail view",,,,,,,,,,,,,,,,,,,,,,,,,,
newborn-short-sleeve-baby-body-suit-dusky-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890403.jpg?v=1658700451,4,"Baby dungarees in dusty blush organic Egyptian cotton, lifestyle view",,,,,,,,,,,,,,,,,,,,,,,,,,
newborn-short-sleeve-baby-body-suit-dusky-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890410.jpg?v=1658700451,5,"Baby dungarees in dusty blush organic Egyptian cotton, flat lay view",,,,,,,,,,,,,,,,,,,,,,,,,,
newborn-short-sleeve-baby-bodysuit-dusty-blush,"Newborn Short Sleeve Bodysuit — Organic Egyptian Cotton, Dusty Blush","<p>A beautifully soft everyday essential.</p>

<p>This short sleeve bodysuit is crafted from 100% organic Egyptian cotton — one of the softest and most breathable fabrics you can put against your baby's skin. Shoulder snap closures allow the bodysuit to be easily slipped on and off, while crotch poppers make nappy changes quick and simple.</p>

<p>The relaxed fit allows natural movement throughout the day, whether baby is playing, crawling or resting. Extra-long staple Egyptian cotton fibres create a smooth, gentle fabric that gets softer with every wash.</p>

<p><strong>Why Parents Love It</strong></p>
<ul>
<li>100% Organic Egyptian Cotton</li>
<li>Shoulder snaps for easy dressing</li>
<li>Crotch poppers for quick nappy changes</li>
<li>Lightweight and breathable</li>
<li>Gentle on sensitive and eczema-prone skin</li>
<li>GOTS certified organic</li>
</ul>

<p>In our gentle Dusty Blush. Perfect for everyday wear, layering and warm weather.</p>",Caico Cotton,Uncategorized,"","bodysuit, newborn, Newborn Essentials, organic egyptian cotton",true,Size,1-3M,,Material,100% Organic Egyptian Cotton,,,,,BBS-BLUSH-1-3M,0.0,shopify,34,deny,manual,17.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890413.jpg?v=1658505921,1,"Baby dungarees in dusty blush organic Egyptian cotton, front view",false,Newborn Short Sleeve Bodysuit Dusty Blush — Organic Egyptian Cotton | Caico Cotton,"Organic Egyptian cotton newborn bodysuit in Dusty Blush. GOTS certified, hypoallergenic. Free UK delivery over £50.",,,,,,,,,,,,"Machine wash at 30°C on a gentle cycle
Use a mild, non-biological detergent
Wash with similar colours
Do not bleach
Tumble dry on low heat or lay flat to dry
Iron on medium heat if needed
Do not dry clean

Egyptian cotton becomes softer with every wash. We recommend washing before first wear for maximum softness.","100% GOTS certified organic Egyptian cotton

Our fabric is woven from extra-long staple Egyptian cotton fibres (35–40mm), grown along the banks of the Nile Delta without pesticides, synthetic fertilisers or harmful chemicals.

Unlike bamboo viscose blends which undergo chemical processing, our cotton is 100% natural at every stage — from field to finished garment.

Fasteners: YKK nickel-free snaps
Certification: GOTS (Global Organic Textile Standard)
Production: Fairtrade certified factory","UK Delivery
Standard UK delivery: 2–3 working days — £3.95
Free UK delivery on orders over £50

Orders placed before 2pm on weekdays are usually dispatched the same day from our UK warehouse.

Returns
We offer a 14-day return and exchange policy. Items must be unworn, unwashed and in original condition with labels attached. Email info@caicocotton.com with your order number to start a return.

Full details at caicocotton.com/pages/shipping-and-returns",,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890413.jpg?v=1658505921,kg,,103.20,true,,,active
newborn-short-sleeve-baby-bodysuit-dusty-blush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1910212.jpg?v=1658697035,2,"Baby dungarees in dusty blush organic Egyptian cotton, back view",,,,,,,,,,,,,,,,,,,,,,,,,,
newborn-short-sleeve-baby-bodysuit-dusty-blush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1910211.jpg?v=1658697035,3,"Baby dungarees in dusty blush organic Egyptian cotton, detail view",,,,,,,,,,,,,,,,,,,,,,,,,,
newborn-short-sleeve-baby-bodysuit-dusty-blush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890414.jpg?v=1658697035,4,"Baby dungarees in dusty blush organic Egyptian cotton, lifestyle view",,,,,,,,,,,,,,,,,,,,,,,,,,
newborn-short-sleeve-baby-bodysuit-dusty-blush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/products/P1890418.jpg?v=1658697035,5,"Baby dungarees in dusty blush organic Egyptian cotton, flat lay view",,,,,,,,,,,,,,,,,,,,,,,,,,
